epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,904.318,0,211.104,0,0,0,0,0,0,332.892,0,0.000300342,0.000300342,0.000300342
2,1823.25,0,128.726,0,0,0,0,0,0,199.018,0,0.000597369,0.000597369,0.000597369
3,2837.95,0,60.0208,0,0,0,0,0,0,63.6903,0,0.000888397,0.000888397,0.000888397
4,3891.6,0,16.1487,0,0,0,0,0,0,10.4854,0,0.000882003,0.000882003,0.000882003
5,4956.04,0,2.80807,0,0,0,0,0,0,1.64151,0,0.000873004,0.000873004,0.000873004
6,5983.64,0,0.20679,0,0,0,0,0,0,0.05391,0,0.000864004,0.000864004,0.000864004
7,6873.68,0,0.00314,0,0,0,0,0,0,2e-05,0,0.000855005,0.000855005,0.000855005
8,7752.97,0,0,0,0,0,0,0,0,6e-05,0,0.000846006,0.000846006,0.000846006
9,8635.72,0,0,0,0,0,0,0,0,1e-05,0,0.000837007,0.000837007,0.000837007
10,9514.83,0,0,0,0,0,0,0,0,0,0,0.000828008,0.000828008,0.000828008
11,10392.9,0,0,0,0,0,0,0,0,0,0,0.000819009,0.000819009,0.000819009
12,11270.4,0,0,0,0,0,0,0,0,1e-05,0,0.00081001,0.00081001,0.00081001
13,12226.1,0,0,0,0,0,0,0,0,8e-05,0,0.000801011,0.000801011,0.000801011
14,17182.7,0,0,0,0,0,0,0,0,0.0001,0,0.000792012,0.000792012,0.000792012
15,18038.5,0,0,0,0,0,0,0,0,0.00019,0,0.000783013,0.000783013,0.000783013
16,18890.3,0,0,0,0,0,0,0,0,0.00021,0,0.000774013,0.000774013,0.000774013
17,19738.7,0,0,0,0,0,0,0,0,0.0001,0,0.000765014,0.000765014,0.000765014
18,20589.9,0,0,0,0,0,0,0,0,0.00349,0,0.000756015,0.000756015,0.000756015
19,21439.5,0,0,0,0,0,0,0,0,0.00315,0,0.000747016,0.000747016,0.000747016
20,22288.1,0,0,0,0,0,0,0,0,0.01087,0,0.000738017,0.000738017,0.000738017
21,23139.7,0,0,0,0,0,0,0,0,0.00735,0,0.000729018,0.000729018,0.000729018
22,23991.2,0,0,0,0,0,0,0,0,0.0069,0,0.000720019,0.000720019,0.000720019
23,24844.9,0,0,0,0,0,0,0,0,0.0002,0,0.00071102,0.00071102,0.00071102
24,25694.9,0,0,0,0,0,0,0,0,0,0,0.000702021,0.000702021,0.000702021
25,26559.2,0,0,0,0,0,0,0,0,0,0,0.000693022,0.000693022,0.000693022
26,27416,0,0,0,0,0,0,0,0,0,0,0.000684022,0.000684022,0.000684022
27,28271.7,0,0,0,0,0,0,0,0,1e-05,0,0.000675023,0.000675023,0.000675023
28,29227.2,0,0,0,0,0,0,0,0,0,0,0.000666024,0.000666024,0.000666024
29,30266,0,0,0,0,0,0,0,0,3e-05,0,0.000657025,0.000657025,0.000657025
30,31313.9,0,0,0,0,0,0,0,0,0,0,0.000648026,0.000648026,0.000648026
31,32366.6,0,0,0,0,0,0,0,0,0,0,0.000639027,0.000639027,0.000639027
32,38250.6,0,0,0,0,0,0,0,0,0,0,0.000630028,0.000630028,0.000630028
33,39107.7,0,0,0,0,0,0,0,0,0,0,0.000621029,0.000621029,0.000621029
34,39958.7,0,0,0,0,0,0,0,0,0,0,0.00061203,0.00061203,0.00061203
35,40811.1,0,0,0,0,0,0,0,0,0,0,0.000603031,0.000603031,0.000603031
36,41666.5,0,0,0,0,0,0,0,0,0,0,0.000594031,0.000594031,0.000594031
37,42516.2,0,0,0,0,0,0,0,0,0,0,0.000585032,0.000585032,0.000585032
38,43727.3,0,0,0,0,0,0,0,0,0,0,0.000576033,0.000576033,0.000576033
39,44799,0,0,0,0,0,0,0,0,0,0,0.000567034,0.000567034,0.000567034
40,47527.9,0,0,0,0,0,0,0,0,0,0,0.000558035,0.000558035,0.000558035
41,49070.5,0,0,0,0,0,0,0,0,0,0,0.000549036,0.000549036,0.000549036
42,49973.1,0,0,0,0,0,0,0,0,0,0,0.000540037,0.000540037,0.000540037
43,50918.5,0,0,0,0,0,0,0,0,1e-05,0,0.000531038,0.000531038,0.000531038
44,51969.1,0,0,0,0,0,0,0,0,0,0,0.000522039,0.000522039,0.000522039
45,76089.7,0,0,0,0,0,0,0,0,0,0,0.00051304,0.00051304,0.00051304
46,77131.5,0,0,0,0,0,0,0,0,1e-05,0,0.00050404,0.00050404,0.00050404
47,78163.3,0,0,0,0,0,0,0,0,2e-05,0,0.000495041,0.000495041,0.000495041
48,86557.1,0,0,0,0,0,0,0,0,1e-05,0,0.000486042,0.000486042,0.000486042
49,88380,0,0,0,0,0,0,0,0,3e-05,0,0.000477043,0.000477043,0.000477043
50,90774.8,0,0,0,0,0,0,0,0,3e-05,0,0.000468044,0.000468044,0.000468044
